"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/1999","0.6300","0.6298","0.6300","0.6298","","-4.17%"
"10/01/1999","0.6574","0.6572","0.6574","0.6572","","-1.62%"
"09/01/1999","0.6682","0.6680","0.6682","0.6680","","1.20%"
"08/01/1999","0.6603","0.6601","0.6603","0.6601","","-1.57%"
"07/01/1999","0.6708","0.6706","0.6708","0.6706","","3.84%"
"06/01/1999","0.6460","0.6458","0.6460","0.6458","","-1.36%"
"05/01/1999","0.6549","0.6547","0.6549","0.6547","","-0.20%"
"04/01/1999","0.6562","0.6560","0.6562","0.6560","","-2.77%"
"03/01/1999","0.6749","0.6748","0.6749","0.6748","","-2.33%"
"02/01/1999","0.6910","0.6908","0.6910","0.6908","","-2.21%"
"01/01/1999","0.7066","0.7063","0.7066","0.7063","","-2.91%"
